index,0.0-1.0,1.0-1.7,1.7-3.0,3.0-5.3,5.3-9.1,9.1-15.9,15.9-27.7,27.7-48.1,48.1-83.7,83.7-145.5,145.5-253.0,253.0-440.1,440.1-765.3,765.3-1331.0,1331.0-2314.6,2314.6-4025.3,4025.3-7000.4,7000.4-12174.3,12174.3-21172.1,21172.1-36820.0
0.0-1.0,1784.0,5.0,10.0,28.0,8.0,60.0,102.0,284.0,202.0,87.0,323.0,277.0,31.0,18.0,9.0,7.0,3.0,2.0,3.0,1.0
1.0-1.7,15.0,6.0,0.0,5.0,0.0,5.0,3.0,3.0,3.0,2.0,4.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.7-3.0,35.0,2.0,28.0,11.0,6.0,20.0,20.0,18.0,8.0,9.0,27.0,25.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0
3.0-5.3,117.0,0.0,5.0,158.0,14.0,59.0,65.0,155.0,74.0,36.0,87.0,90.0,17.0,12.0,7.0,5.0,7.0,1.0,2.0,4.0
5.3-9.1,74.0,0.0,0.0,24.0,65.0,74.0,53.0,119.0,26.0,27.0,23.0,36.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9.1-15.9,105.0,0.0,3.0,52.0,46.0,372.0,300.0,369.0,132.0,80.0,112.0,95.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
15.9-27.7,139.0,0.0,4.0,46.0,31.0,185.0,1486.0,1104.0,501.0,265.0,372.0,336.0,33.0,9.0,1.0,1.0,1.0,2.0,1.0,0.0
27.7-48.1,248.0,0.0,4.0,29.0,32.0,154.0,536.0,3707.0,2228.0,760.0,950.0,664.0,83.0,22.0,14.0,10.0,9.0,6.0,1.0,1.0
48.1-83.7,171.0,0.0,0.0,27.0,13.0,70.0,304.0,1438.0,8041.0,3264.0,2215.0,1101.0,204.0,24.0,2.0,7.0,1.0,0.0,0.0,1.0
83.7-145.5,122.0,0.0,0.0,20.0,9.0,44.0,180.0,660.0,2584.0,10227.0,7704.0,2050.0,538.0,126.0,21.0,24.0,1.0,1.0,0.0,0.0
145.5-253.0,88.0,0.0,0.0,17.0,4.0,26.0,130.0,446.0,1240.0,3819.0,22787.0,8818.0,1984.0,382.0,44.0,36.0,2.0,4.0,0.0,3.0
253.0-440.1,46.0,0.0,2.0,8.0,5.0,14.0,74.0,245.0,646.0,1246.0,8945.0,28210.0,9781.0,1405.0,153.0,112.0,8.0,1.0,0.0,5.0
440.1-765.3,27.0,0.0,0.0,2.0,5.0,9.0,35.0,121.0,202.0,467.0,2721.0,9272.0,26309.0,5814.0,562.0,153.0,15.0,6.0,1.0,9.0
765.3-1331.0,23.0,0.0,2.0,4.0,0.0,3.0,18.0,45.0,95.0,264.0,1343.0,2567.0,8588.0,16160.0,3169.0,552.0,101.0,6.0,2.0,4.0
1331.0-2314.6,17.0,0.0,0.0,1.0,0.0,1.0,6.0,22.0,59.0,101.0,522.0,970.0,2183.0,5370.0,9156.0,2279.0,172.0,16.0,5.0,13.0
2314.6-4025.3,25.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,41.0,43.0,241.0,415.0,832.0,1370.0,2620.0,8035.0,919.0,107.0,34.0,12.0
4025.3-7000.4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,13.0,72.0,132.0,255.0,507.0,421.0,2928.0,3487.0,655.0,125.0,7.0
7000.4-12174.3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,2.0,43.0,75.0,116.0,164.0,160.0,604.0,1201.0,2410.0,608.0,59.0
12174.3-21172.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11.0,25.0,44.0,76.0,86.0,353.0,174.0,1006.0,1682.0,480.0
21172.1-36820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,10.0,19.0,31.0,33.0,103.0,37.0,183.0,561.0,1285.0
